COUNTRY,POPULATION,MEDIANAGE,POPGROWTH,BIRTHRATE,MTRNLDTH,HEATHEXPENDITURE,GDP,TAXREVENUE,UNEMPRATE,INFANTMORTALITYRATE,OBESITY,TOTALFERTILITYRATE
Afghanistan,32564342.00,18.4,2.32,38.57,460,8.6,1900,8.2,35,115.08,2.2,5.33
Albania,3029278.00,32,0.3,12.92,27,6,11900,25.7,17.3,12.75,21.3,1.5
Algeria,39542166.00,27.5,1.84,23.67,97,5.2,14500,28.2,11,20.98,16,2.78
Argentina,43431886.00,31.4,0.93,16.64,77,8.5,22600,24.8,7.6,9.69,29.7,2.23
Armenia,3056382.00,34.2,-0.15,13.61,30,4.5,8500,24,17.8,13.51,24,1.64
Australia,22751014.00,38.4,1.07,12.15,7,9.1,65400,34.3,6.2,4.37,26.8,1.77
Austria,8665550.00,43.6,0.55,9.41,4,11.5,47300,50.6,5.8,3.45,20.9,1.46
Azerbaijan,9780780.00,30.5,0.96,16.64,43,5.4,18000,25.2,5.3,25.68,23.8,1.91
"Bahamas, The",324597.00,31.5,0.84,15.5,47,7.5,25200,18,15,11.92,34.7,1.96
Bahrain,1346613.00,31.8,2.41,13.66,20,3.9,50100,16.7,4.1,9.35,32.9,1.78
Bangladesh,168957745.00,24.7,1.6,21.14,240,3.6,3600,11,4.9,44.09,1.1,2.4
Barbados,290604.00,38,0.31,11.87,51,6.3,16600,29.2,10.8,10.42,34.7,1.68
Belarus,9589689.00,39.6,-0.2,10.7,4,5,17700,35.2,0.7,3.62,24.3,1.47
Belgium,11323973.00,41.4,0.76,11.41,8,10.8,43600,49.5,8.6,3.41,22.1,1.78
Belize,347369.00,22.1,1.87,24.68,53,5.8,8400,28.4,12.9,19.82,33.7,2.95
Bhutan,741919.00,26.7,1.11,17.78,180,3.8,8200,26.9,2.6,35.91,5.3,1.97
Bolivia,10800882.00,23.7,1.56,22.76,190,5.8,6500,48.6,7.4,37.49,17.9,2.73
Bosnia and Herzegovina,3867055.00,41.2,-0.13,8.87,8,9.9,10500,46.3,43.9,5.72,26.5,1.27
Botswana,2182719.00,23.1,1.21,20.96,160,5.3,16400,38.8,20,8.93,11.2,2.33
Brazil,204259812.00,31.1,0.77,14.46,56,9.3,15600,35.1,6.4,18.6,18.8,1.77
Brunei,429646.00,29.6,1.62,17.32,24,2.3,79700,26.9,6.9,10.16,7.5,1.8
Bulgaria,7186893.00,42.1,-0.58,8.92,11,7.4,19100,37.8,10,8.66,23.7,1.45
Burkina Faso,18931686.00,17.1,3.03,42.03,300,6.2,1700,19.3,77,75.32,2.3,5.86
Burma,56320206.00,28.3,1.01,18.39,200,1.8,5500,4.1,5,43.55,4,2.16
Cabo Verde,545993.00,24.5,1.36,20.33,79,3.9,6500,22.8,12,23.45,10,2.29
Cambodia,15708756.00,24.5,1.58,23.83,250,5.4,3500,18.8,0.3,50.04,2.1,2.6
Cameroon,23739218.00,18.4,2.59,36.17,690,5.1,3100,14.1,30,53.63,10.3,4.76
Canada,35099836.00,41.8,0.75,10.28,12,10.9,45600,37.2,6.9,4.65,26.2,1.59
Central African Republic,5391539.00,19.5,2.13,35.08,890,3.8,600,13.1,8,90.63,3.5,4.41
Chile,17508260.00,33.7,0.82,13.83,25,7.2,23500,20.2,6.4,6.86,29.4,1.82
China,1367485388.00,36.8,0.45,12.49,37,5.4,14100,21.3,4.2,12.44,5.7,1.6
Colombia,46736728.00,29.3,1.04,16.47,92,6.8,13800,29.3,8.9,14.58,17.3,2.04
Comoros,780971.00,19.4,1.77,27.84,280,4.5,1500,22.1,6.5,63.55,4.4,3.6
"Congo, Republic of the",4755097.00,19.8,2,35.85,560,3.2,6700,43.9,53,57.92,4.7,4.68
Costa Rica,4814144.00,30.4,1.22,15.91,40,10.1,15500,14.5,8.7,8.46,23.7,1.9
