AGE,GENDER,DOMAIN,PhD,YEARSEXP,UNIVERSITY,USERWIKI,PU1_IND,PU1
40,0,2,1,14,1,0,1,4
42,0,5,1,18,1,0,0,2
37,0,4,1,13,1,0,0,2
40,0,4,0,13,1,0,0,3
51,0,6,0,8,1,1,1,4
47,0,4,0,17,1,0,0,2
43,0,4,0,11,1,0,1,4
55,0,6,0,12,1,0,1,4
54,0,1,1,14,1,0,1,4
50,0,4,1,25,1,0,1,4
40,0,4,1,13,1,1,0,3
48,0,6,0,25,1,0,1,5
38,0,6,1,15,1,0,1,4
56,0,6,1,13,1,1,0,1
44,0,4,1,15,1,1,1,4
39,0,6,1,12,1,0,0,3
40,0,4,1,18,1,1,1,4
51,0,6,1,20,1,0,1,4
39,0,4,0,12,1,1,1,5
33,0,6,1,5,1,0,0,2
36,0,6,1,10,1,0,1,4
45,0,6,1,15,1,0,0,2
38,0,1,0,10,1,0,0,3
38,0,3,1,15,1,1,1,4
38,0,5,1,14,1,1,0,3
40,0,6,0,9,1,0,1,5
33,0,5,1,6,1,0,0,2
38,0,1,1,5,1,0,0,3
35,0,6,0,10,1,0,1,4
39,0,4,1,10,1,0,0,2
37,0,6,1,15,1,0,0,3
43,0,1,1,12,1,1,1,4
41,0,6,1,10,1,0,1,4
38,0,4,1,14,1,1,1,4
49,0,6,1,10,1,0,0,3
43,0,6,0,9,1,0,0,2
38,0,1,1,12,1,0,0,3
43,0,6,1,14,1,0,0,3
37,0,1,1,9,1,0,0,3
46,0,6,1,18,1,0,0,3
36,0,5,1,14,1,0,0,3
39,0,1,1,10,1,0,0,3
35,0,4,1,7,1,0,1,4
33,0,6,1,7,1,0,0,3
33,0,6,0,5,1,0,1,5
34,0,4,1,11,1,0,0,3
59,0,2,1,36,1,0,1,4
36,0,4,1,9,1,0,0,3
34,0,4,1,7,1,0,0,3
41,0,6,1,15,1,0,0,3
43,0,5,0,19,1,0,0,2
43,0,3,0,4,1,0,0,2
32,0,4,1,8,1,0,0,3
32,0,4,0,7,1,0,1,4
52,0,1,1,10,1,1,0,2
31,0,6,1,10,1,0,1,4
37,0,6,1,11,1,0,0,2
33,0,4,1,5,1,0,0,2
32,0,1,0,2,1,0,1,4
52,0,6,1,23,1,1,0,3
62,0,1,1,17,1,1,1,4
50,0,1,0,15,1,0,0,3
42,0,6,1,20,1,0,1,4
43,0,6,1,20,1,0,1,5
44,0,6,1,17,1,0,0,3
50,0,1,1,23,1,1,1,5
48,0,1,1,16,1,0,1,5
47,0,6,1,17,1,0,1,5
51,0,1,1,13,1,0,0,3
42,0,3,1,12,1,0,0,2
44,0,4,1,17,1,0,0,2
53,1,1,1,6,1,0,0,2
39,1,6,1,16,1,0,0,2
42,1,6,0,17,1,0,0,2
46,1,4,1,15,1,0,1,4
47,1,6,0,20,1,0,0,3
